iter	Passed	Remaining
0	143	71727
1	149	37284
2	155	25812
3	161	20077
4	167	16571
5	173	14265
6	178	12569
7	184	11330
8	189	10343
9	195	9557
10	201	8937
11	206	8403
12	212	7961
13	217	7563
14	223	7218
15	229	6933
16	235	6680
17	240	6452
18	246	6245
19	252	6071
20	259	5911
21	264	5753
22	270	5604
23	275	5464
24	281	5340
25	286	5219
26	292	5122
27	298	5029
28	304	4943
29	310	4857
30	316	4782
31	322	4710
32	327	4634
33	332	4561
34	338	4501
35	344	4442
36	349	4379
37	356	4328
38	362	4282
39	368	4233
40	373	4184
41	379	4140
42	385	4097
43	391	4058
44	397	4016
45	403	3979
46	409	3944
47	415	3910
48	420	3874
49	428	3853
50	434	3825
51	441	3806
52	448	3779
53	455	3759
54	461	3736
55	467	3710
56	475	3694
57	482	3679
58	490	3667
59	497	3649
60	504	3629
61	511	3615
62	518	3598
63	526	3586
64	533	3571
65	540	3556
66	548	3543
67	554	3525
68	562	3512
69	569	3497
70	575	3479
71	582	3464
72	589	3445
73	596	3432
74	603	3418
75	610	3404
76	617	3391
77	624	3381
78	632	3368
79	637	3347
80	643	3330
81	649	3311
82	655	3294
83	663	3284
84	670	3274
85	678	3265
86	687	3262
87	695	3254
88	703	3246
89	710	3238
90	717	3225
91	723	3209
92	731	3201
93	737	3185
94	744	3171
95	749	3154
96	755	3138
97	762	3127
98	769	3115
99	776	3104
100	783	3093
101	790	3084
102	799	3082
103	807	3075
104	815	3068
105	822	3057
106	830	3049
107	837	3040
108	845	3031
109	852	3023
110	860	3014
111	867	3006
112	875	2998
113	882	2989
114	891	2984
115	900	2982
116	909	2978
117	916	2965
118	922	2954
119	929	2942
120	935	2930
121	941	2918
122	949	2909
123	955	2898
124	963	2891
125	971	2883
126	978	2874
127	985	2865
128	992	2855
129	999	2844
130	1005	2832
131	1012	2824
132	1021	2819
133	1029	2811
134	1036	2802
135	1043	2794
136	1050	2784
137	1058	2775
138	1065	2766
139	1072	2756
140	1079	2747
141	1085	2736
142	1092	2727
143	1099	2718
144	1106	2708
145	1113	2699
146	1120	2691
147	1128	2683
148	1135	2675
149	1143	2668
150	1150	2658
151	1158	2651
152	1165	2643
153	1172	2633
154	1179	2625
155	1187	2617
156	1194	2609
